Year_BE,Month,YYMM,Province_Code,Province,Divorce,Marriage
2564,1,6401,10,กรุงเทพมหานคร,1206.0,2714.0
2564,1,6401,11,จังหวัดสมุทรปราการ,267.0,628.0
2564,1,6401,12,จังหวัดนนทบุรี,189.0,394.0
2564,1,6401,13,จังหวัดปทุมธานี,291.0,559.0
2564,1,6401,14,จังหวัดพระนครศรีอยุธยา,191.0,353.0
2564,1,6401,15,จังหวัดอ่างทอง,38.0,74.0
2564,1,6401,16,จังหวัดลพบุรี,113.0,234.0
2564,1,6401,17,จังหวัดสิงห์บุรี,38.0,54.0
2564,1,6401,18,จังหวัดชัยนาท,31.0,67.0
2564,1,6401,19,จังหวัดสระบุรี,158.0,300.0
2564,1,6401,20,จังหวัดชลบุรี,454.0,916.0
2564,1,6401,21,จังหวัดระยอง,279.0,485.0
2564,1,6401,22,จังหวัดจันทบุรี,54.0,110.0
2564,1,6401,23,จังหวัดตราด,21.0,57.0
2564,1,6401,24,จังหวัดฉะเชิงเทรา,134.0,303.0
2564,1,6401,25,จังหวัดปราจีนบุรี,125.0,236.0
2564,1,6401,26,จังหวัดนครนายก,36.0,97.0
2564,1,6401,27,จังหวัดสระแก้ว,80.0,128.0
2564,1,6401,30,จังหวัดนครราชสีมา,345.0,806.0
2564,1,6401,31,จังหวัดบุรีรัมย์,155.0,328.0
2564,1,6401,32,จังหวัดสุรินทร์,128.0,325.0
2564,1,6401,33,จังหวัดศรีสะเกษ,142.0,435.0
2564,1,6401,34,จังหวัดอุบลราชธานี,230.0,563.0
2564,1,6401,35,จังหวัดยโสธร,66.0,181.0
2564,1,6401,36,จังหวัดชัยภูมิ,103.0,294.0
2564,1,6401,37,จังหวัดอำนาจเจริญ,45.0,87.0
2564,1,6401,38,จังหวัดบึงกาฬ,47.0,130.0
2564,1,6401,39,จังหวัดหนองบัวลำภู,60.0,165.0
2564,1,6401,40,จังหวัดขอนแก่น,225.0,538.0
2564,1,6401,41,จังหวัดอุดรธานี,199.0,448.0
2564,1,6401,42,จังหวัดเลย,79.0,203.0
2564,1,6401,43,จังหวัดหนองคาย,49.0,152.0
2564,1,6401,44,จังหวัดมหาสารคาม,96.0,291.0
2564,1,6401,45,จังหวัดร้อยเอ็ด,126.0,326.0
2564,1,6401,46,จังหวัดกาฬสินธุ์,122.0,281.0
2564,1,6401,47,จังหวัดสกลนคร,140.0,324.0
2564,1,6401,48,จังหวัดนครพนม,66.0,159.0
2564,1,6401,49,จังหวัดมุกดาหาร,34.0,114.0
2564,1,6401,50,จังหวัดเชียงใหม่,225.0,624.0
2564,1,6401,51,จังหวัดลำพูน,87.0,181.0
2564,1,6401,52,จังหวัดลำปาง,98.0,207.0
2564,1,6401,53,จังหวัดอุตรดิตถ์,55.0,124.0
2564,1,6401,54,จังหวัดแพร่,44.0,104.0
2564,1,6401,55,จังหวัดน่าน,57.0,156.0
2564,1,6401,56,จังหวัดพะเยา,65.0,150.0
2564,1,6401,57,จังหวัดเชียงราย,161.0,364.0
2564,1,6401,58,จังหวัดแม่ฮ่องสอน,21.0,103.0
2564,1,6401,60,จังหวัดนครสวรรค์,113.0,219.0
2564,1,6401,61,จังหวัดอุทัยธานี,35.0,73.0
2564,1,6401,62,จังหวัดกำแพงเพชร,84.0,162.0
2564,1,6401,63,จังหวัดตาก,43.0,149.0
2564,1,6401,64,จังหวัดสุโขทัย,56.0,123.0
2564,1,6401,65,จังหวัดพิษณุโลก,138.0,322.0
2564,1,6401,66,จังหวัดพิจิตร,79.0,117.0
2564,1,6401,67,จังหวัดเพชรบูรณ์,117.0,249.0
2564,1,6401,70,จังหวัดราชบุรี,114.0,260.0
2564,1,6401,71,จังหวัดกาญจนบุรี,85.0,195.0
2564,1,6401,72,จังหวัดสุพรรณบุรี,91.0,197.0
2564,1,6401,73,จังหวัดนครปฐม,138.0,305.0
2564,1,6401,74,จังหวัดสมุทรสาคร,32.0,82.0
2564,1,6401,75,จังหวัดสมุทรสงคราม,19.0,46.0
2564,1,6401,76,จังหวัดเพชรบุรี,66.0,134.0
