ds,y,Marriage
2021-01-01,7416.0,16879.0
2021-02-01,7288.0,22997.0
2021-03-01,9063.0,20298.0
2021-04-01,7913.0,16614.0
2021-05-01,7023.0,15319.0
2021-06-01,7363.0,15523.0
2021-07-01,6098.0,13904.0
2021-08-01,5800.0,12622.0
2021-09-01,6685.0,14001.0
2021-10-01,7276.0,13866.0
2021-11-01,8639.0,16530.0
2021-12-01,8522.0,15644.0
2022-01-01,8880.0,17035.0
2022-02-01,8225.0,31719.0
2022-03-01,7861.0,16549.0
2022-04-01,8550.0,16442.0
2022-05-01,8740.0,18239.0
2022-06-01,8128.0,15782.0
2022-07-01,7456.0,14514.0
2022-08-01,8615.0,17125.0
2022-09-01,9906.0,19115.0
2022-10-01,10240.0,18157.0
2022-11-01,8423.0,17024.0
2022-12-01,8530.0,18853.0
2023-01-01,8516.0,15982.0
2023-02-01,7622.0,28047.0
2023-03-01,9270.0,15284.0
2023-04-01,8530.0,13343.0
2023-05-01,9231.0,16698.0
2023-06-01,8659.0,15530.0
2023-07-01,7932.0,14280.0
2023-08-01,8027.0,14092.0
2023-09-01,7975.0,14357.0
2023-10-01,8381.0,13254.0
2023-11-01,7916.0,13217.0
2023-12-01,7982.0,13318.0
2024-01-01,8819.0,16056.0
2024-02-01,7854.0,27665.0
2024-03-01,8416.0,14471.0
2024-04-01,8582.0,13067.0
2024-05-01,8202.0,14773.0
2024-06-01,8224.0,12865.0
2024-07-01,8108.0,12736.0
2024-08-01,7929.0,12443.0
2024-09-01,7909.0,12655.0
2024-10-01,8909.0,12440.0
2024-11-01,8261.0,13335.0
2024-12-01,8044.0,11867.0
