Year_BE,Month,YYMM,Province_Code,Province,Divorce,Marriage
2550,1,5001,10,กรุงเทพมหานคร,1393.0,3759.0
2550,1,5001,11,จังหวัดสมุทรปราการ,310.0,795.0
2550,1,5001,12,จังหวัดนนทบุรี,193.0,478.0
2550,1,5001,13,จังหวัดปทุมธานี,201.0,581.0
2550,1,5001,14,จังหวัดพระนครศรีอยุธยา,182.0,431.0
2550,1,5001,15,จังหวัดอ่างทอง,38.0,109.0
2550,1,5001,16,จังหวัดลพบุรี,110.0,284.0
2550,1,5001,17,จังหวัดสิงห์บุรี,29.0,84.0
2550,1,5001,18,จังหวัดชัยนาท,40.0,145.0
2550,1,5001,19,จังหวัดสระบุรี,154.0,350.0
2550,1,5001,20,จังหวัดชลบุรี,364.0,1044.0
2550,1,5001,21,จังหวัดระยอง,186.0,494.0
2550,1,5001,22,จังหวัดจันทบุรี,59.0,158.0
2550,1,5001,23,จังหวัดตราด,40.0,76.0
2550,1,5001,24,จังหวัดฉะเชิงเทรา,104.0,354.0
2550,1,5001,25,จังหวัดปราจีนบุรี,83.0,231.0
2550,1,5001,26,จังหวัดนครนายก,51.0,100.0
2550,1,5001,27,จังหวัดสระแก้ว,71.0,200.0
2550,1,5001,30,จังหวัดนครราชสีมา,378.0,1066.0
2550,1,5001,31,จังหวัดบุรีรัมย์,161.0,521.0
2550,1,5001,32,จังหวัดสุรินทร์,142.0,533.0
2550,1,5001,33,จังหวัดศรีสะเกษ,108.0,596.0
2550,1,5001,34,จังหวัดอุบลราชธานี,190.0,721.0
2550,1,5001,35,จังหวัดยโสธร,61.0,246.0
2550,1,5001,36,จังหวัดชัยภูมิ,127.0,462.0
2550,1,5001,37,จังหวัดอำนาจเจริญ,35.0,200.0
2550,1,5001,39,จังหวัดหนองบัวลำภู,67.0,249.0
2550,1,5001,40,จังหวัดขอนแก่น,229.0,713.0
2550,1,5001,41,จังหวัดอุดรธานี,243.0,698.0
2550,1,5001,42,จังหวัดเลย,79.0,340.0
2550,1,5001,43,จังหวัดหนองคาย,117.0,451.0
2550,1,5001,44,จังหวัดมหาสารคาม,96.0,396.0
2550,1,5001,45,จังหวัดร้อยเอ็ด,111.0,456.0
2550,1,5001,46,จังหวัดกาฬสินธุ์,105.0,437.0
2550,1,5001,47,จังหวัดสกลนคร,117.0,559.0
2550,1,5001,48,จังหวัดนครพนม,56.0,218.0
2550,1,5001,49,จังหวัดมุกดาหาร,42.0,124.0
2550,1,5001,50,จังหวัดเชียงใหม่,296.0,648.0
2550,1,5001,51,จังหวัดลำพูน,91.0,225.0
2550,1,5001,52,จังหวัดลำปาง,130.0,302.0
2550,1,5001,53,จังหวัดอุตรดิตถ์,72.0,174.0
2550,1,5001,54,จังหวัดแพร่,63.0,178.0
2550,1,5001,55,จังหวัดน่าน,68.0,239.0
2550,1,5001,56,จังหวัดพะเยา,74.0,195.0
2550,1,5001,57,จังหวัดเชียงราย,195.0,419.0
2550,1,5001,58,จังหวัดแม่ฮ่องสอน,17.0,104.0
2550,1,5001,60,จังหวัดนครสวรรค์,163.0,469.0
2550,1,5001,61,จังหวัดอุทัยธานี,45.0,133.0
2550,1,5001,62,จังหวัดกำแพงเพชร,92.0,241.0
2550,1,5001,63,จังหวัดตาก,57.0,200.0
2550,1,5001,64,จังหวัดสุโขทัย,79.0,206.0
2550,1,5001,65,จังหวัดพิษณุโลก,146.0,353.0
2550,1,5001,66,จังหวัดพิจิตร,73.0,208.0
2550,1,5001,67,จังหวัดเพชรบูรณ์,135.0,407.0
2550,1,5001,70,จังหวัดราชบุรี,118.0,301.0
2550,1,5001,71,จังหวัดกาญจนบุรี,76.0,224.0
2550,1,5001,72,จังหวัดสุพรรณบุรี,99.0,238.0
2550,1,5001,73,จังหวัดนครปฐม,127.0,358.0
2550,1,5001,74,จังหวัดสมุทรสาคร,79.0,244.0
2550,1,5001,75,จังหวัดสมุทรสงคราม,11.0,64.0
2550,1,5001,76,จังหวัดเพชรบุรี,64.0,143.0
2550,1,5001,77,จังหวัดประจวบคีรีขันธ์,77.0,208.0
2550,1,5001,80,จังหวัดนครศรีธรรมราช,138.0,490.0
2550,1,5001,81,จังหวัดกระบี่,29.0,180.0
2550,1,5001,82,จังหวัดพังงา,21.0,130.0
2550,1,5001,83,จังหวัดภูเก็ต,74.0,177.0
2550,1,5001,84,จังหวัดสุราษฎร์ธานี,102.0,424.0
2550,1,5001,85,จังหวัดระนอง,32.0,23.0
2550,1,5001,86,จังหวัดชุมพร,64.0,169.0
2550,1,5001,90,จังหวัดสงขลา,163.0,563.0
2550,1,5001,91,จังหวัดสตูล,22.0,120.0
2550,1,5001,92,จังหวัดตรัง,46.0,222.0
2550,1,5001,93,จังหวัดพัทลุง,49.0,191.0
2550,1,5001,94,จังหวัดปัตตานี,17.0,137.0
2550,1,5001,95,จังหวัดยะลา,13.0,116.0
2550,1,5001,96,จังหวัดนราธิวาส,20.0,142.0
2550,2,5002,10,กรุงเทพมหานคร,1339.0,6529.0
2550,2,5002,11,จังหวัดสมุทรปราการ,290.0,1353.0
2550,2,5002,12,จังหวัดนนทบุรี,177.0,825.0
2550,2,5002,13,จังหวัดปทุมธานี,185.0,918.0
2550,2,5002,14,จังหวัดพระนครศรีอยุธยา,147.0,746.0
2550,2,5002,15,จังหวัดอ่างทอง,41.0,160.0
2550,2,5002,16,จังหวัดลพบุรี,99.0,453.0
2550,2,5002,17,จังหวัดสิงห์บุรี,32.0,123.0
2550,2,5002,18,จังหวัดชัยนาท,52.0,182.0
2550,2,5002,19,จังหวัดสระบุรี,140.0,640.0
2550,2,5002,20,จังหวัดชลบุรี,317.0,1763.0
2550,2,5002,21,จังหวัดระยอง,134.0,837.0
2550,2,5002,22,จังหวัดจันทบุรี,76.0,293.0
2550,2,5002,23,จังหวัดตราด,22.0,155.0
2550,2,5002,24,จังหวัดฉะเชิงเทรา,88.0,569.0
2550,2,5002,25,จังหวัดปราจีนบุรี,68.0,351.0
2550,2,5002,26,จังหวัดนครนายก,42.0,172.0
2550,2,5002,27,จังหวัดสระแก้ว,72.0,315.0
2550,2,5002,30,จังหวัดนครราชสีมา,369.0,1562.0
2550,2,5002,31,จังหวัดบุรีรัมย์,120.0,638.0
2550,2,5002,32,จังหวัดสุรินทร์,94.0,653.0
2550,2,5002,33,จังหวัดศรีสะเกษ,78.0,704.0
2550,2,5002,34,จังหวัดอุบลราชธานี,131.0,994.0
2550,2,5002,35,จังหวัดยโสธร,57.0,302.0
2550,2,5002,36,จังหวัดชัยภูมิ,105.0,494.0
2550,2,5002,37,จังหวัดอำนาจเจริญ,28.0,202.0
2550,2,5002,39,จังหวัดหนองบัวลำภู,50.0,293.0
2550,2,5002,40,จังหวัดขอนแก่น,189.0,1029.0
2550,2,5002,41,จังหวัดอุดรธานี,185.0,913.0
2550,2,5002,42,จังหวัดเลย,68.0,435.0
2550,2,5002,43,จังหวัดหนองคาย,107.0,469.0
2550,2,5002,44,จังหวัดมหาสารคาม,73.0,448.0
2550,2,5002,45,จังหวัดร้อยเอ็ด,92.0,576.0
2550,2,5002,46,จังหวัดกาฬสินธุ์,86.0,448.0
2550,2,5002,47,จังหวัดสกลนคร,98.0,609.0
2550,2,5002,48,จังหวัดนครพนม,52.0,273.0
2550,2,5002,49,จังหวัดมุกดาหาร,33.0,154.0
2550,2,5002,50,จังหวัดเชียงใหม่,241.0,1052.0
2550,2,5002,51,จังหวัดลำพูน,100.0,377.0
2550,2,5002,52,จังหวัดลำปาง,120.0,469.0
2550,2,5002,53,จังหวัดอุตรดิตถ์,50.0,279.0
2550,2,5002,54,จังหวัดแพร่,55.0,383.0
2550,2,5002,55,จังหวัดน่าน,42.0,264.0
2550,2,5002,56,จังหวัดพะเยา,59.0,311.0
2550,2,5002,57,จังหวัดเชียงราย,192.0,653.0
2550,2,5002,58,จังหวัดแม่ฮ่องสอน,17.0,129.0
2550,2,5002,60,จังหวัดนครสวรรค์,141.0,599.0
2550,2,5002,61,จังหวัดอุทัยธานี,43.0,164.0
2550,2,5002,62,จังหวัดกำแพงเพชร,86.0,416.0
2550,2,5002,63,จังหวัดตาก,55.0,286.0
2550,2,5002,64,จังหวัดสุโขทัย,71.0,328.0
2550,2,5002,65,จังหวัดพิษณุโลก,125.0,507.0
2550,2,5002,66,จังหวัดพิจิตร,64.0,289.0
2550,2,5002,67,จังหวัดเพชรบูรณ์,104.0,514.0
2550,2,5002,70,จังหวัดราชบุรี,108.0,555.0
2550,2,5002,71,จังหวัดกาญจนบุรี,81.0,380.0
2550,2,5002,72,จังหวัดสุพรรณบุรี,78.0,465.0
2550,2,5002,73,จังหวัดนครปฐม,116.0,567.0
2550,2,5002,74,จังหวัดสมุทรสาคร,77.0,301.0
2550,2,5002,75,จังหวัดสมุทรสงคราม,20.0,94.0
2550,2,5002,76,จังหวัดเพชรบุรี,53.0,247.0
2550,2,5002,77,จังหวัดประจวบคีรีขันธ์,65.0,304.0
2550,2,5002,80,จังหวัดนครศรีธรรมราช,115.0,686.0
2550,2,5002,81,จังหวัดกระบี่,44.0,376.0
2550,2,5002,82,จังหวัดพังงา,28.0,184.0
2550,2,5002,83,จังหวัดภูเก็ต,58.0,381.0
2550,2,5002,84,จังหวัดสุราษฎร์ธานี,132.0,707.0
2550,2,5002,85,จังหวัดระนอง,23.0,125.0
2550,2,5002,86,จังหวัดชุมพร,65.0,294.0
2550,2,5002,90,จังหวัดสงขลา,133.0,925.0
2550,2,5002,91,จังหวัดสตูล,20.0,159.0
2550,2,5002,92,จังหวัดตรัง,66.0,379.0
2550,2,5002,93,จังหวัดพัทลุง,45.0,308.0
2550,2,5002,94,จังหวัดปัตตานี,16.0,188.0
2550,2,5002,95,จังหวัดยะลา,15.0,246.0
2550,2,5002,96,จังหวัดนราธิวาส,19.0,211.0
2550,3,5003,10,กรุงเทพมหานคร,1481.0,3962.0
2550,3,5003,11,จังหวัดสมุทรปราการ,321.0,762.0
2550,3,5003,12,จังหวัดนนทบุรี,215.0,525.0
2550,3,5003,13,จังหวัดปทุมธานี,217.0,551.0
2550,3,5003,14,จังหวัดพระนครศรีอยุธยา,172.0,431.0
2550,3,5003,15,จังหวัดอ่างทอง,39.0,97.0
