ds,y,yhat
2009-01-01,6910.0,7135.306785752976
2009-02-01,6504.0,6907.1528612172
2009-03-01,7068.0,7192.1528612172
2009-04-01,6644.0,7178.1528612172
2009-05-01,6546.0,7120.1528612172
2009-06-01,7031.0,7103.1528612172
2009-07-01,6326.0,6919.1528612172
2009-08-01,6528.0,6534.152861217199
2009-09-01,6817.0,6698.152861217199
2009-10-01,6536.0,6933.152861217199
2009-11-01,6635.0,6507.152861217199
2009-12-01,6746.0,7189.152861217199
2010-01-01,6983.0,7536.707361361874
2010-02-01,6314.0,6859.589525776846
2010-03-01,7036.0,7133.023485457891
2010-04-01,7342.0,7093.346055312028
2010-05-01,6909.0,6910.045225959971
2010-06-01,6969.0,7116.940119933286
2010-07-01,6683.0,6620.421833181554
2010-08-01,6374.0,6700.795923102847
2010-09-01,6517.0,6778.712012145531
2010-10-01,6572.0,6829.629364548455
2010-11-01,6184.0,6666.404373982229
2010-12-01,6561.0,6888.8879764939675
2011-01-01,7090.0,7339.80737713112
2011-02-01,6283.0,6686.742203626388
2011-03-01,7087.0,7183.405090389844
2011-04-01,7084.0,7226.623464829449
2011-05-01,7066.0,6981.681089112079
2011-06-01,6926.0,7153.513452480228
2011-07-01,6838.0,6708.702965342924
2011-08-01,6628.0,6694.272408687923
2011-09-01,6295.0,6785.075923778734
2011-10-01,6027.0,6838.2091878671445
2011-11-01,6198.0,6601.035736374177
2011-12-01,6744.0,6870.906619781289
2012-01-01,7520.0,7085.195588034704
2012-02-01,7024.0,6272.476416495077
2012-03-01,7150.0,7076.476416495077
2012-04-01,7227.0,7073.476416495076
2012-05-01,7336.0,7055.4764164950775
2012-06-01,6879.0,6915.476416495077
2012-07-01,6866.0,6827.4764164950775
2012-08-01,6515.0,6617.476416495077
2012-09-01,6048.0,6284.476416495075
2012-10-01,7292.0,6016.476416495073
2012-11-01,6352.0,6187.476416495077
2012-12-01,6018.0,6733.4764164950775
2013-01-01,7478.0,7226.7704266890505
2013-02-01,6509.0,6747.070907199231
2013-03-01,7005.0,7205.076220577736
2013-04-01,7292.0,7248.287924590173
2013-05-01,7090.0,7124.3538210584165
2013-06-01,6717.0,7094.2634914927285
2013-07-01,6640.0,6818.618900566454
2013-08-01,6248.0,6681.53620221559
2013-09-01,6406.0,6571.97662991233
2013-10-01,6583.0,6825.609026799653
2013-11-01,6115.0,6509.678329745424
2013-12-01,5796.0,6691.100011613876
2014-01-01,6800.0,7166.48536418358
2014-02-01,6243.0,6474.908220397096
2014-03-01,7084.0,6939.026387921747
2014-04-01,7370.0,7071.5979872214775
2014-05-01,7243.0,6952.459468739148
2014-06-01,7140.0,6739.913730567425
2014-07-01,6911.0,6583.106864895412
2014-08-01,6315.0,6313.63387864691
2014-09-01,6634.0,6244.88168937819
2014-10-01,7065.0,6559.743316504361
2014-11-01,6400.0,6141.217411691308
2014-12-01,7063.0,6108.589315282402
2015-01-01,7036.0,7570.67273085606
2015-02-01,6870.0,6749.36567761341
2015-03-01,7366.0,7292.2241663356435
2015-04-01,7962.0,7416.965929075417
2015-05-01,6972.0,7275.472017600811
2015-06-01,7363.0,7187.592910140833
2015-07-01,6552.0,6943.829638319593
2015-08-01,7192.0,6690.851084905497
2015-09-01,7059.0,6708.074041901809
2015-10-01,6980.0,6969.870781117184
2015-11-01,6858.0,6574.296712181112
2015-12-01,7234.0,6769.394109560558
2016-01-01,7226.0,7705.311359378456
2016-02-01,7013.0,7068.033764206681
2016-03-01,7934.0,7591.997548077426
2016-04-01,7045.0,7749.408844509998
2016-05-01,7565.0,7505.56135262758
2016-06-01,7236.0,7504.978129243187
2016-07-01,6690.0,7172.712262760902
2016-08-01,7446.0,7064.797875525174
2016-09-01,7040.0,7055.728104073256
2016-10-01,7257.0,7244.076524305847
