ds,yhat,floor,cap
2025-01-01,8174.989239847253,7210.522548192203,9139.455931502302
2025-02-01,7734.807289765231,6697.568415044187,8772.046164486275
2025-03-01,8257.911142311785,7212.500629271945,9303.321655351623
2025-04-01,8096.92766136869,7049.521849414038,9144.33347332334
2025-05-01,8138.196868262119,7089.934395235222,9186.459341289017
2025-06-01,8049.759565297778,7000.898922096475,9098.62020849908
2025-07-01,7724.377089968228,6674.9852820845845,8773.76889785187
2025-08-01,7801.86680421929,6751.962266038619,8851.771342399961
2025-09-01,7787.159224746963,6736.74712306584,8837.571326428088
2025-10-01,8091.532533929662,7040.614090239604,9142.450977619721
2025-11-01,7791.950547188414,6740.525100712625,8843.375993664202
2025-12-01,7824.273652122973,6772.349039732428,8876.198264513518
2026-01-01,8381.59559089737,7324.6676824099595,9438.52349938478
2026-02-01,7854.329819223186,6795.500547415703,8913.15909103067
2026-03-01,8360.246345188569,7300.837724882868,9419.654965494268
2026-04-01,8185.312640202028,7125.098869088242,9245.526411315814
2026-05-01,8226.101539901387,7165.251553525777,9286.951526276996
2026-06-01,8142.668109510985,7081.231800372596,9204.104418649375
2026-07-01,7808.007945419362,6745.998308623376,8870.017582215347
2026-08-01,7888.319585299445,6825.740117619283,8950.899052979606
2026-09-01,7876.910299287091,6813.761965592148,8940.058632982034
2026-10-01,8173.506856266932,7109.78969130815,9237.224021225715
2026-11-01,7878.00715538688,6813.720096393126,8942.294214380634
2026-12-01,7916.378899279766,6851.529343240023,8981.22845531951
2027-01-01,8471.760137593286,7402.645123877098,9540.875151309474
2027-02-01,7943.521237991658,6872.586265149864,9014.456210833454
2027-03-01,8449.24570019199,7377.568661785,9520.92273859898
2027-04-01,8274.156108725705,7201.599755654662,9346.712461796747
2027-05-01,8314.939640764771,7241.69075737329,9388.188524156252
2027-06-01,8231.562125201737,7157.67397148044,9305.450278923036
2027-07-01,7896.798289001296,6822.284595672545,8971.311982330048
2027-08-01,7977.141462030162,6902.005918192429,9052.277005867894
2027-09-01,7965.769032272502,6890.012670224363,9041.52539432064
2027-10-01,8262.278689164616,7185.901573620224,9338.655804709007
2027-11-01,7966.824605141551,6889.825639308756,9043.823570974346
2027-12-01,8005.263938593111,6927.650013918532,9082.87786326769
2028-01-01,8560.623490856453,7478.582337255361,9642.664644457545
2028-02-01,8032.373717190803,6948.389255924676,9116.35817845693
2028-03-01,8538.096033204989,7453.16771980082,9623.024346609158
2028-04-01,8363.004699809906,7277.113779003397,9448.895620616415
2028-05-01,8403.788171868902,7317.146735569051,9490.429608168753
2028-06-01,8320.411281117258,7233.078039287263,9407.744522947254
2028-07-01,7985.646286449245,6897.636300475113,9073.656272423377
2028-08-01,8065.989811840292,6977.307135042469,9154.672488638114
2028-09-01,8054.617793927017,6965.263577106083,9143.972010747952
2028-10-01,8351.126479767854,7261.100834614205,9441.152124921504
2028-11-01,8055.6729054831385,6964.9747107757885,9146.371100190489
2028-12-01,8094.112994203526,7002.748644650084,9185.477343756967
2029-01-01,8649.47230413953,7553.516661561564,9745.427946717497
2029-02-01,8121.222408963374,7023.201923403614,9219.242894523133
2029-03-01,8626.94470099534,7527.783258325501,9726.10614366518
2029-04-01,8451.853348135353,7351.64814551718,9552.058550753527
2029-05-01,8492.63681952411,7391.62453239077,9593.64910665745
2029-06-01,8409.259935754322,7307.504564202802,9511.015307305843
2029-07-01,8074.494928141196,6972.012827796434,9176.977028485959
2029-08-01,8154.838457469658,7051.634038258615,9258.042876680702
2029-09-01,8143.466444158474,7039.54097503442,9247.391913282529
2029-10-01,8439.97511914845,7335.328760722241,9544.62147757466
2029-11-01,8144.521550559725,7039.153161906755,9249.889939212697
2029-12-01,8182.961647719743,7076.8771370378845,9289.046158401603
