ROUND,TRAIN,TEST,MAE,RMSE,MAPE
Round_1,2007–2009,2010–2010,320.705540980239,377.41722601442564,4.806150082219494
Round_2,2007–2010,2011–2011,248.92120075193148,322.95892807249135,3.8835631351598057
Round_3,2007–2011,2012–2012,331.34814970733845,421.6911832076459,4.872838844048745
Round_4,2007–2012,2013–2013,276.37467574348244,354.2636655859413,4.376719301647678
Round_5,2007–2013,2014–2014,349.2317976778097,409.35608283280897,5.044791660124863
Round_6,2007–2014,2015–2015,302.4966152372636,350.0026786052676,4.244887754400621
Round_7,2007–2015,2016–2016,239.96736373114263,322.7061477782655,3.3361096501710734
Round_8,2007–2016,2017–2017,207.2723400492032,250.73854375855288,2.898585731828131
Round_9,2007–2017,2018–2018,243.61708447770707,282.95700944700144,3.353658239040697
Round_10,2007–2018,2019–2019,178.53494773502993,207.94166106875403,2.445345398519359
Round_11,2007–2019,2020–2020,765.7725023406538,1390.2749722843555,16.700720787015104
Round_12,2007–2020,2021–2021,764.7526931846415,875.1628736174627,11.27861337827102
Round_13,2007–2021,2022–2022,683.9956072009251,844.9363894675909,8.133583754585842
Round_14,2007–2022,2023–2023,334.6081402505099,448.74220245637,4.189113303630107
Round_15,2007–2023,2024–2024,332.5739043811512,371.04007107430107,4.135525099752666
